2022-09-26 17:27:25.775 [main] INFO  com.generics.App - Max is not present at Position 2! saddd
2022-09-26 17:34:13.537 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 17:34:13.537 [main] INFO  com.generics.App - Give 3 inputs of integer:
2022-09-26 17:34:15.923 [main] INFO  com.generics.App - Max Number is not present at Position 2! 3
2022-09-26 17:34:15.924 [main] INFO  com.generics.App - Max is not present at Position 2! 0
2022-09-26 17:34:15.924 [main] INFO  com.generics.App - Give 3 inputs of strings:
2022-09-26 17:34:22.309 [main] INFO  com.generics.App - Max String is at Position 2! asddff
2022-09-26 17:34:22.310 [main] INFO  com.generics.App - Max is at Position 2! asddff
2022-09-26 17:38:42.932 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 17:38:42.935 [main] INFO  com.generics.App - Give 3 inputs of integer:
2022-09-26 17:38:45.507 [main] INFO  com.generics.App - Max Number is not present at Position 2! 43
2022-09-26 17:38:45.508 [main] INFO  com.generics.App - Max is not present at Position 2! 0
2022-09-26 17:38:45.509 [main] INFO  com.generics.App - Give 3 inputs of strings:
2022-09-26 17:39:01.315 [main] INFO  com.generics.App - Max String is not present at Position 2! 1
2022-09-26 17:39:01.315 [main] INFO  com.generics.App - Max is not present at Position 2! 1
2022-09-26 17:39:04.738 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 17:39:04.738 [main] INFO  com.generics.App - Give 3 inputs of integer:
2022-09-26 17:39:08.456 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 17:39:08.461 [main] INFO  com.generics.App - Give 3 inputs of integer:
2022-09-26 17:39:13.035 [main] INFO  com.generics.App - Max Number is not present at Position 2! 54
2022-09-26 17:39:13.036 [main] INFO  com.generics.App - Max is not present at Position 2! 0
2022-09-26 17:39:13.037 [main] INFO  com.generics.App - Give 3 inputs of strings:
2022-09-26 17:39:20.332 [main] INFO  com.generics.App - Max String is at Position 2! sadfas
2022-09-26 17:39:20.332 [main] INFO  com.generics.App - Max is at Position 2! sadfas
2022-09-26 17:40:01.665 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 17:40:01.665 [main] INFO  com.generics.App - Give 3 inputs of integer:
2022-09-26 17:40:07.903 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 17:40:07.907 [main] INFO  com.generics.App - Give 3 inputs of integer:
2022-09-26 17:40:10.498 [main] INFO  com.generics.App - Max Number is not present at Position 2! 3
2022-09-26 17:40:10.499 [main] INFO  com.generics.App - Max is not present at Position 2! 0
2022-09-26 17:40:10.500 [main] INFO  com.generics.App - Give 3 inputs of strings:
